measure,location,sex,age,cause,metric,year,val,upper,lower,,,,,
Deaths,Global,Both,55 to 59,"Tracheal, bronchus, and lung cancer",Percent,2013,0.054011141,0.054835905,0.053172523,,,,,
Deaths,Global,Both,55 to 59,"Tracheal, bronchus, and lung cancer",Rate,2013,49.61571649,50.44599419,48.76771484,,,,,
Deaths,Global,Both,60 to 64,"Tracheal, bronchus, and lung cancer",Number,2013,236071.42,239927.2993,232370.9865,,,,,
Deaths,Global,Both,60 to 64,"Tracheal, bronchus, and lung cancer",Percent,2013,0.060751145,0.061690862,0.0598984,,,,,
Deaths,Global,Both,60 to 64,"Tracheal, bronchus, and lung cancer",Rate,2013,86.69181434,88.10779758,85.33291501,,,,,
Deaths,Global,Both,65 to 69,"Tracheal, bronchus, and lung cancer",Number,2013,251629.8352,255653.5954,247900.0159,,,,,
Deaths,Global,Both,65 to 69,"Tracheal, bronchus, and lung cancer",Percent,2013,0.059638062,0.0604933,0.058882248,,,,,
Deaths,Global,Both,65 to 69,"Tracheal, bronchus, and lung cancer",Rate,2013,125.8351206,127.8473238,123.9699115,,,,,
Deaths,Global,Both,70 to 74,"Tracheal, bronchus, and lung cancer",Number,2013,257000.0906,260817.3189,253350.5667,,,,,
Deaths,Global,Both,70 to 74,"Tracheal, bronchus, and lung cancer",Percent,2013,0.051836446,0.052592117,0.05119662,,,,,
Deaths,Global,Both,70 to 74,"Tracheal, bronchus, and lung cancer",Rate,2013,167.6059412,170.0953961,165.2258569,,,,,
Deaths,Global,Both,75 to 79,"Tracheal, bronchus, and lung cancer",Number,2013,244566.7041,248379.7319,240997.3323,,,,,
Deaths,Global,Both,75 to 79,"Tracheal, bronchus, and lung cancer",Percent,2013,0.042898945,0.043511354,0.042342031,,,,,
Deaths,Global,Both,75 to 79,"Tracheal, bronchus, and lung cancer",Rate,2013,214.9213825,218.2722116,211.7846746,,,,,
Deaths,Global,Both,80 plus,"Tracheal, bronchus, and lung cancer",Number,2013,321471.9159,325317.4942,318068.6808,,,,,
Deaths,Global,Both,80 plus,"Tracheal, bronchus, and lung cancer",Percent,2013,0.023054551,0.023324678,0.022841234,,,,,
Deaths,Global,Both,80 plus,"Tracheal, bronchus, and lung cancer",Rate,2013,261.5068072,264.6350583,258.7383875,,,,,
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,2013,1679966.478,1703179.57,1660293.561,,,,,
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Percent,2013,0.031534726,0.031922891,0.031202164,,,,,
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Rate,2013,23.02078812,23.33887998,22.75120771,,,,,
Deaths,Global,Both,15-49 years,"Tracheal, bronchus, and lung cancer",Number,2013,107407.2934,110176.3976,105297.6971,,,,,
Deaths,Global,Both,15-49 years,"Tracheal, bronchus, and lung cancer",Percent,2013,0.013511774,0.013843383,0.013238185,,,,,
Deaths,Global,Both,15-49 years,"Tracheal, bronchus, and lung cancer",Rate,2013,2.82258594,2.895355994,2.767147275,,,,,
Deaths,Global,Both,50-69 years,"Tracheal, bronchus, and lung cancer",Number,2013,749520.4739,760851.9354,739508.0848,,,,,
Deaths,Global,Both,50-69 years,"Tracheal, bronchus, and lung cancer",Percent,2013,0.055613691,0.056320059,0.05500395,,,,,
Deaths,Global,Both,50-69 years,"Tracheal, bronchus, and lung cancer",Rate,2013,64.05344698,65.02182501,63.19779586,,,,,
Deaths,Global,Both,70+ years,"Tracheal, bronchus, and lung cancer",Number,2013,823038.7106,833905.6193,814081.263,,,,,
Deaths,Global,Both,70+ years,"Tracheal, bronchus, and lung cancer",Percent,2013,0.033452932,0.033827083,0.033145718,,,,,
Deaths,Global,Both,70+ years,"Tracheal, bronchus, and lung cancer",Rate,2013,211.0030595,213.7890171,208.7066319,,,,,
Deaths,Global,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2013,23.75011471,24.07284565,23.46979848,,,,,
Deaths,Global,Both,80 to 84,"Tracheal, bronchus, and lung cancer",Number,2013,184534.2994,187245.3237,182035.2378,,,,,
Deaths,Global,Both,80 to 84,"Tracheal, bronchus, and lung cancer",Percent,2013,0.03139567,0.031807962,0.030991142,,,,,
Deaths,Global,Both,80 to 84,"Tracheal, bronchus, and lung cancer",Rate,2013,257.5016786,261.2846789,254.0144539,,,,,
Deaths,Global,Both,85 to 89,"Tracheal, bronchus, and lung cancer",Number,2013,96588.22541,98040.0423,95286.99248,,,,,
Deaths,Global,Both,85 to 89,"Tracheal, bronchus, and lung cancer",Percent,2013,0.020875229,0.02118338,0.020608419,,,,,
Deaths,Global,Both,85 to 89,"Tracheal, bronchus, and lung cancer",Rate,2013,269.8315386,273.8873744,266.1963783,,,,,
Deaths,Global,Both,90 to 94,"Tracheal, bronchus, and lung cancer",Number,2013,32162.67132,32624.50024,31774.0187,,,,,
Deaths,Global,Both,90 to 94,"Tracheal, bronchus, and lung cancer",Percent,2013,0.012975214,0.013151235,0.012821507,,,,,
Deaths,Global,Both,90 to 94,"Tracheal, bronchus, and lung cancer",Rate,2013,258.3229396,262.0322398,255.201374,,,,,
Deaths,Global,Both,<20 years,"Tracheal, bronchus, and lung cancer",Number,2013,779.9956582,822.8788198,740.2046503,,,,,
Deaths,Global,Both,<20 years,"Tracheal, bronchus, and lung cancer",Percent,2013,9.99E-05,0.000106115,9.43E-05,,,,,
Deaths,Global,Both,<20 years,"Tracheal, bronchus, and lung cancer",Rate,2013,0.030668727,0.032354854,0.02910418,,,,,
Deaths,Global,Both,10 to 24,"Tracheal, bronchus, and lung cancer",Number,2013,2247.905433,2345.494229,2153.552394,,,,,
Deaths,Global,Both,10 to 24,"Tracheal, bronchus, and lung cancer",Percent,2013,0.001332129,0.001390867,0.001277741,,,,,
Deaths,Global,Both,10 to 24,"Tracheal, bronchus, and lung cancer",Rate,2013,0.121603486,0.126882684,0.11649933,,,,,
Deaths,Global,Both,10 to 54,"Tracheal, bronchus, and lung cancer",Number,2013,208315.3876,212674.8076,204675.0754,,,,,
Deaths,Global,Both,10 to 54,"Tracheal, bronchus, and lung cancer",Percent,2013,0.019475002,0.019874693,0.019142324,,,,,
Deaths,Global,Both,10 to 54,"Tracheal, bronchus, and lung cancer",Rate,2013,4.341670573,4.432528793,4.265799863,,,,,
Deaths,Global,Both,95 plus,"Tracheal, bronchus, and lung cancer",Number,2013,8186.719789,8299.351926,8073.913764,,,,,
Deaths,Global,Both,95 plus,"Tracheal, bronchus, and lung cancer",Percent,2013,0.008522913,0.008638156,0.008408561,,,,,
Deaths,Global,Both,95 plus,"Tracheal, bronchus, and lung cancer",Rate,2013,270.9977901,274.7261527,267.2636714,,,,,
Deaths,Global,Both,<70 years,"Tracheal, bronchus, and lung cancer",Number,2013,856927.7674,870267.7925,845068.5243,,,,,
Deaths,Global,Both,<70 years,"Tracheal, bronchus, and lung cancer",Percent,2013,0.029888898,0.030351738,0.029471392,,,,,
Deaths,Global,Both,<70 years,"Tracheal, bronchus, and lung cancer",Rate,2013,12.40567553,12.59879802,12.23399021,,,,,
Deaths,Global,Both,15 to 19,Breast cancer,Number,2013,391.2923828,470.3020541,285.6480143,,,,,
Deaths,Global,Both,15 to 19,Breast cancer,Percent,2013,0.000694149,0.000832353,0.000509651,,,,,
Deaths,Global,Both,15 to 19,Breast cancer,Rate,2013,0.064022927,0.076950422,0.046737485,,,,,
Deaths,Global,Both,20 to 24,Breast cancer,Number,2013,1096.420956,1267.953467,947.288534,,,,,
Deaths,Global,Both,20 to 24,Breast cancer,Percent,2013,0.001425104,0.001636128,0.001236794,,,,,
Deaths,Global,Both,20 to 24,Breast cancer,Rate,2013,0.177366817,0.205115443,0.153241829,,,,,
Deaths,Global,Both,25 to 29,Breast cancer,Number,2013,3751.796712,4117.47193,3349.858686,,,,,
Deaths,Global,Both,25 to 29,Breast cancer,Percent,2013,0.004138325,0.004531785,0.0037073,,,,,
Deaths,Global,Both,25 to 29,Breast cancer,Rate,2013,0.624848346,0.685750248,0.557907003,,,,,
Deaths,Global,Both,30 to 34,Breast cancer,Number,2013,9891.183887,10780.08932,9284.562672,,,,,
Deaths,Global,Both,30 to 34,Breast cancer,Percent,2013,0.009442588,0.010246193,0.008885245,,,,,
Deaths,Global,Both,30 to 34,Breast cancer,Rate,2013,1.842057667,2.007600546,1.729085219,,,,,
Deaths,Global,Both,35 to 39,Breast cancer,Number,2013,19819.22982,21517.79458,18895.67808,,,,,
Deaths,Global,Both,35 to 39,Breast cancer,Percent,2013,0.016253382,0.017776214,0.01549338,,,,,
Deaths,Global,Both,35 to 39,Breast cancer,Rate,2013,3.927255132,4.263832144,3.744249871,,,,,
Deaths,Global,Both,40 to 44,Breast cancer,Number,2013,32884.72567,35268.47997,31499.31182,,,,,
Deaths,Global,Both,40 to 44,Breast cancer,Percent,2013,0.021880545,0.023445289,0.021037385,,,,,
Deaths,Global,Both,40 to 44,Breast cancer,Rate,2013,6.754448136,7.244065869,6.469887272,,,,,
Deaths,Global,Both,45 to 49,Breast cancer,Number,2013,47217.14467,50852.98824,45335.48147,,,,,
Deaths,Global,Both,45 to 49,Breast cancer,Percent,2013,0.024340192,0.026154165,0.023377765,,,,,
Deaths,Global,Both,45 to 49,Breast cancer,Rate,2013,10.56258179,11.3759282,10.14164949,,,,,
Deaths,Global,Both,50 to 54,Breast cancer,Number,2013,59264.6168,63058.95653,57316.85716,,,,,
Deaths,Global,Both,50 to 54,Breast cancer,Percent,2013,0.024766618,0.026400438,0.023980239,,,,,
Deaths,Global,Both,50 to 54,Breast cancer,Rate,2013,15.86504217,16.88078078,15.34363006,,,,,
Deaths,Global,Both,55 to 59,Breast cancer,Number,2013,64461.94821,67564.2669,62398.27029,,,,,
Deaths,Global,Both,55 to 59,Breast cancer,Percent,2013,0.021636928,0.02270822,0.020999925,,,,,
Deaths,Global,Both,55 to 59,Breast cancer,Rate,2013,19.87634949,20.83292577,19.24003016,,,,,
Deaths,Global,Both,60 to 64,Breast cancer,Number,2013,64094.5796,67271.1196,62272.39021,,,,,
Deaths,Global,Both,60 to 64,Breast cancer,Percent,2013,0.016494155,0.017289305,0.016026243,,,,,
Deaths,Global,Both,60 to 64,Breast cancer,Rate,2013,23.53726425,24.70377571,22.86810699,,,,,
Deaths,Global,Both,65 to 69,Breast cancer,Number,2013,55304.11099,57373.70038,53736.55895,,,,,
Deaths,Global,Both,65 to 69,Breast cancer,Percent,2013,0.013107446,0.013567711,0.012748847,,,,,
Deaths,Global,Both,65 to 69,Breast cancer,Rate,2013,27.65649578,28.69145664,26.8725939,,,,,
Deaths,Global,Both,70 to 74,Breast cancer,Number,2013,52024.79713,54345.02294,50458.33445,,,,,
Deaths,Global,Both,70 to 74,Breast cancer,Percent,2013,0.010493285,0.01090701,0.01017772,,,,,
Deaths,Global,Both,70 to 74,Breast cancer,Rate,2013,33.92864597,35.44181132,32.90705703,,,,,
Deaths,Global,Both,75 to 79,Breast cancer,Number,2013,47506.87349,48828.30714,46170.14961,,,,,
Deaths,Global,Both,75 to 79,Breast cancer,Percent,2013,0.008333101,0.008544511,0.00809613,,,,,
Deaths,Global,Both,75 to 79,Breast cancer,Rate,2013,41.74829509,42.90955024,40.57360311,,,,,
Deaths,Global,Both,80 plus,Breast cancer,Number,2013,92661.22276,94986.77946,91028.43802,,,,,
Deaths,Global,Both,80 plus,Breast cancer,Percent,2013,0.00664526,0.006818879,0.006532034,,,,,
Deaths,Global,Both,80 plus,Breast cancer,Rate,2013,75.37685038,77.26861411,74.04863382,,,,,
Deaths,Global,Both,All Ages,Breast cancer,Number,2013,550369.9431,573658.4956,538658.9887,,,,,
Deaths,Global,Both,All Ages,Breast cancer,Percent,2013,0.010330924,0.010758508,0.010132723,,,,,
Deaths,Global,Both,All Ages,Breast cancer,Rate,2013,7.541787299,7.86091321,7.381310645,,,,,
Deaths,Global,Both,15-49 years,Breast cancer,Number,2013,115051.7941,122814.0167,111310.4289,,,,,
Deaths,Global,Both,15-49 years,Breast cancer,Percent,2013,0.01447298,0.015338401,0.014041439,,,,,
Deaths,Global,Both,15-49 years,Breast cancer,Rate,2013,3.023477885,3.227463478,2.925157515,,,,,
Deaths,Global,Both,50-69 years,Breast cancer,Number,2013,243125.2556,252737.2633,237420.8344,,,,,
Deaths,Global,Both,50-69 years,Breast cancer,Percent,2013,0.018039508,0.018815016,0.017636099,,,,,
Deaths,Global,Both,50-69 years,Breast cancer,Rate,2013,20.77729857,21.5987334,20.28980309,,,,,
Deaths,Global,Both,70+ years,Breast cancer,Number,2013,192192.8934,197352.7143,188197.0425,,,,,
Deaths,Global,Both,70+ years,Breast cancer,Percent,2013,0.007811808,0.008004577,0.007658283,,,,,
Deaths,Global,Both,70+ years,Breast cancer,Rate,2013,49.27263808,50.59546529,48.24821875,,,,,
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,2013,7.652001548,7.958425446,7.493998162,,,,,
Deaths,Global,Both,80 to 84,Breast cancer,Number,2013,41677.63287,42953.31942,40585.78116,,,,,
Deaths,Global,Both,80 to 84,Breast cancer,Percent,2013,0.00709081,0.007298304,0.006910727,,,,,
Deaths,Global,Both,80 to 84,Breast cancer,Rate,2013,58.15753743,59.93764783,56.63395266,,,,,
Deaths,Global,Both,85 to 89,Breast cancer,Number,2013,29930.57736,30753.4642,29327.19357,,,,,
Deaths,Global,Both,85 to 89,Breast cancer,Percent,2013,0.006468781,0.006647443,0.006336076,,,,,
Deaths,Global,Both,85 to 89,Breast cancer,Rate,2013,83.61488892,85.91372839,81.92925929,,,,,
Deaths,Global,Both,90 to 94,Breast cancer,Number,2013,15376.67546,15757.97199,15027.0996,,,,,
Deaths,Global,Both,90 to 94,Breast cancer,Percent,2013,0.006203338,0.006351603,0.00605748,,,,,
Deaths,Global,Both,90 to 94,Breast cancer,Rate,2013,123.5018063,126.5642895,120.6940961,,,,,
Deaths,Global,Both,<20 years,Breast cancer,Number,2013,391.2923828,470.3020541,285.6480143,,,,,
Deaths,Global,Both,<20 years,Breast cancer,Percent,2013,5.01E-05,6.01E-05,3.70E-05,,,,,
Deaths,Global,Both,<20 years,Breast cancer,Rate,2013,0.015385264,0.018491853,0.011231423,,,,,
Deaths,Global,Both,10 to 24,Breast cancer,Number,2013,1487.713339,1689.700343,1242.729715,,,,,
Deaths,Global,Both,10 to 24,Breast cancer,Percent,2013,0.000881568,0.001004075,0.000741477,,,,,
Deaths,Global,Both,10 to 24,Breast cancer,Rate,2013,0.080479866,0.091406626,0.067227145,,,,,
Deaths,Global,Both,10 to 54,Breast cancer,Number,2013,174316.4109,185078.7456,168766.5655,,,,,
Deaths,Global,Both,10 to 54,Breast cancer,Percent,2013,0.016296048,0.017313503,0.01581615,,,,,
Deaths,Global,Both,10 to 54,Breast cancer,Rate,2013,3.633070222,3.8573768,3.517401376,,,,,
Deaths,Global,Both,95 plus,Breast cancer,Number,2013,5676.33707,5820.678071,5551.68361,,,,,
Deaths,Global,Both,95 plus,Breast cancer,Percent,2013,0.005909441,0.006061601,0.005781688,,,,,
Deaths,Global,Both,95 plus,Breast cancer,Rate,2013,187.8987973,192.6767906,183.7725033,,,,,
Deaths,Global,Both,<70 years,Breast cancer,Number,2013,358177.0497,375683.8498,348953.6817,,,,,
Deaths,Global,Both,<70 years,Breast cancer,Percent,2013,0.012492695,0.013120419,0.012197777,,,,,
Deaths,Global,Both,<70 years,Breast cancer,Rate,2013,5.185300827,5.438745388,5.051774858,,,,,
Deaths,Global,Both,15 to 19,Cervical cancer,Number,2013,224.7652761,244.494207,204.0057171,,,,,
Deaths,Global,Both,15 to 19,Cervical cancer,Percent,2013,0.000398752,0.000434252,0.000360511,,,,,
Deaths,Global,Both,15 to 19,Cervical cancer,Rate,2013,0.036775903,0.040003934,0.033379242,,,,,
Deaths,Global,Both,20 to 24,Cervical cancer,Number,2013,1036.691444,1141.855496,929.1367418,,,,,
Deaths,Global,Both,20 to 24,Cervical cancer,Percent,2013,0.001347546,0.001481762,0.001212908,,,,,
Deaths,Global,Both,20 to 24,Cervical cancer,Rate,2013,0.167704439,0.184716713,0.150305433,,,,,
Deaths,Global,Both,25 to 29,Cervical cancer,Number,2013,3236.174865,3495.993019,2943.994925,,,,,
Deaths,Global,Both,25 to 29,Cervical cancer,Percent,2013,0.003569758,0.00385239,0.0032802,,,,,
Deaths,Global,Both,25 to 29,Cervical cancer,Rate,2013,0.538973369,0.582245155,0.490311843,,,,,
Deaths,Global,Both,30 to 34,Cervical cancer,Number,2013,6951.096292,7380.205604,6319.180215,,,,,
Deaths,Global,Both,30 to 34,Cervical cancer,Percent,2013,0.006636025,0.007059715,0.006065038,,,,,
Deaths,Global,Both,30 to 34,Cervical cancer,Rate,2013,1.294518469,1.374432472,1.176835301,,,,,
Deaths,Global,Both,35 to 39,Cervical cancer,Number,2013,12032.10675,12801.95407,11092.01967,,,,,
Deaths,Global,Both,35 to 39,Cervical cancer,Percent,2013,0.009867601,0.010449266,0.009131898,,,,,
Deaths,Global,Both,35 to 39,Cervical cancer,Rate,2013,2.384207328,2.536755478,2.197925529,,,,,
Deaths,Global,Both,40 to 44,Cervical cancer,Number,2013,19191.66886,20262.1359,17838.39899,,,,,
Deaths,Global,Both,40 to 44,Cervical cancer,Percent,2013,0.012769619,0.013452062,0.011862711,,,,,
Deaths,Global,Both,40 to 44,Cervical cancer,Rate,2013,3.941925297,4.161796801,3.663966731,,,,,
Deaths,Global,Both,45 to 49,Cervical cancer,Number,2013,25645.06988,26867.42978,22917.84151,,,,,
Deaths,Global,Both,45 to 49,Cervical cancer,Percent,2013,0.01321993,0.013834186,0.01185037,,,,,
Deaths,Global,Both,45 to 49,Cervical cancer,Rate,2013,5.73685999,6.01030466,5.126772852,,,,,
Deaths,Global,Both,50 to 54,Cervical cancer,Number,2013,28935.83519,30392.98441,26736.9651,,,,,
Deaths,Global,Both,50 to 54,Cervical cancer,Percent,2013,0.012092289,0.012679194,0.01111054,,,,,
Deaths,Global,Both,50 to 54,Cervical cancer,Rate,2013,7.746076329,8.136152822,7.157442359,,,,,
Deaths,Global,Both,55 to 59,Cervical cancer,Number,2013,28559.71293,29811.17865,26934.49897,,,,,
Deaths,Global,Both,55 to 59,Cervical cancer,Percent,2013,0.009586215,0.009971937,0.009045509,,,,,
Deaths,Global,Both,55 to 59,Cervical cancer,Rate,2013,8.806169396,9.192049295,8.305047081,,,,,
Deaths,Global,Both,60 to 64,Cervical cancer,Number,2013,27107.60592,28278.60601,25327.18186,,,,,
Deaths,Global,Both,60 to 64,Cervical cancer,Percent,2013,0.006975876,0.007281014,0.0065415,,,,,
Deaths,Global,Both,60 to 64,Cervical cancer,Rate,2013,9.95464652,10.38466945,9.300826621,,,,,
Deaths,Global,Both,65 to 69,Cervical cancer,Number,2013,22499.52598,23493.63141,21360.0376,,,,,
Deaths,Global,Both,65 to 69,Cervical cancer,Percent,2013,0.005332529,0.00554761,0.005027393,,,,,
Deaths,Global,Both,65 to 69,Cervical cancer,Rate,2013,11.25156944,11.74870197,10.68173377,,,,,
Deaths,Global,Both,70 to 74,Cervical cancer,Number,2013,20449.70754,21519.59354,19502.18672,,,,,
Deaths,Global,Both,70 to 74,Cervical cancer,Percent,2013,0.004124652,0.004328876,0.003925352,,,,,
Deaths,Global,Both,70 to 74,Cervical cancer,Rate,2013,13.33654191,14.03428194,12.71860392,,,,,
Deaths,Global,Both,75 to 79,Cervical cancer,Number,2013,16984.42965,17693.01173,16018.93364,,,,,
Deaths,Global,Both,75 to 79,Cervical cancer,Percent,2013,0.002979195,0.00310137,0.002805177,,,,,
Deaths,Global,Both,75 to 79,Cervical cancer,Rate,2013,14.92565031,15.54834112,14.07718756,,,,,
Deaths,Global,Both,80 plus,Cervical cancer,Number,2013,25449.19389,26157.08026,24335.01781,,,,,
Deaths,Global,Both,80 plus,Cervical cancer,Percent,2013,0.001825101,0.001877959,0.001750614,,,,,
Deaths,Global,Both,80 plus,Cervical cancer,Rate,2013,20.70208037,21.27792259,19.79573485,,,,,
Deaths,Global,Both,All Ages,Cervical cancer,Number,2013,238303.5845,246707.2704,223174.1391,,,,,
Deaths,Global,Both,All Ages,Cervical cancer,Percent,2013,0.004473146,0.004634856,0.004205529,,,,,
Deaths,Global,Both,All Ages,Cervical cancer,Rate,2013,3.265503448,3.380660194,3.05818279,,,,,
Deaths,Global,Both,15-49 years,Cervical cancer,Number,2013,68317.57337,71559.45279,63358.14532,,,,,
Deaths,Global,Both,15-49 years,Cervical cancer,Percent,2013,0.008594114,0.008978132,0.008008009,,,,,
Deaths,Global,Both,15-49 years,Cervical cancer,Rate,2013,1.795336386,1.880530631,1.665006206,,,,,
Deaths,Global,Both,50-69 years,Cervical cancer,Number,2013,107102.68,110862.7644,100244.0877,,,,,
Deaths,Global,Both,50-69 years,Cervical cancer,Percent,2013,0.007946846,0.008216836,0.007439975,,,,,
Deaths,Global,Both,50-69 years,Cervical cancer,Rate,2013,9.152913195,9.474247134,8.566783137,,,,,
Deaths,Global,Both,70+ years,Cervical cancer,Number,2013,62883.33109,65218.7161,59890.05156,,,,,
Deaths,Global,Both,70+ years,Cervical cancer,Percent,2013,0.002555926,0.002646898,0.0024389,,,,,
Deaths,Global,Both,70+ years,Cervical cancer,Rate,2013,16.12144736,16.72017179,15.35405802,,,,,
Deaths,Global,Both,Age-standardized,Cervical cancer,Rate,2013,3.242989957,3.3578847,3.039970121,,,,,
Deaths,Global,Both,80 to 84,Cervical cancer,Number,2013,13578.48469,14111.81701,12913.41358,,,,,
Deaths,Global,Both,80 to 84,Cervical cancer,Percent,2013,0.002310164,0.002394566,0.002201667,,,,,
Deaths,Global,Both,80 to 84,Cervical cancer,Rate,2013,18.94760276,19.69182196,18.01955346,,,,,
Deaths,Global,Both,85 to 89,Cervical cancer,Number,2013,7864.341793,8142.59277,7538.946132,,,,,
Deaths,Global,Both,85 to 89,Cervical cancer,Percent,2013,0.001699685,0.001764205,0.001629764,,,,,
Deaths,Global,Both,85 to 89,Cervical cancer,Rate,2013,21.9700428,22.74737242,21.06100848,,,,,
Deaths,Global,Both,90 to 94,Cervical cancer,Number,2013,3069.99319,3155.98804,2968.51158,,,,,
Deaths,Global,Both,90 to 94,Cervical cancer,Percent,2013,0.001238513,0.001272178,0.001200168,,,,,
Deaths,Global,Both,90 to 94,Cervical cancer,Rate,2013,24.65745638,25.34814661,23.84238019,,,,,
Deaths,Global,Both,<20 years,Cervical cancer,Number,2013,224.7652761,244.494207,204.0057171,,,,,
Deaths,Global,Both,<20 years,Cervical cancer,Percent,2013,2.88E-05,3.14E-05,2.60E-05,,,,,
Deaths,Global,Both,<20 years,Cervical cancer,Rate,2013,0.008837568,0.009613292,0.008021321,,,,,
Deaths,Global,Both,10 to 24,Cervical cancer,Number,2013,1261.45672,1377.595616,1136.587523,,,,,
Deaths,Global,Both,10 to 24,Cervical cancer,Percent,2013,0.000747526,0.000815502,0.00067764,,,,,
Deaths,Global,Both,10 to 24,Cervical cancer,Rate,2013,0.068240208,0.074522899,0.06148524,,,,,
Deaths,Global,Both,10 to 54,Cervical cancer,Number,2013,97253.40856,101601.2603,90128.93097,,,,,
Deaths,Global,Both,10 to 54,Cervical cancer,Percent,2013,0.009091831,0.009472674,0.008466686,,,,,
Deaths,Global,Both,10 to 54,Cervical cancer,Rate,2013,2.026937457,2.117554575,1.87845042,,,,,
Deaths,Global,Both,95 plus,Cervical cancer,Number,2013,936.3742229,964.2066006,906.7589807,,,,,
Deaths,Global,Both,95 plus,Cervical cancer,Percent,2013,0.000974828,0.001003086,0.000944302,,,,,
Deaths,Global,Both,95 plus,Cervical cancer,Rate,2013,30.99597295,31.91728369,30.01564561,,,,,
Deaths,Global,Both,<70 years,Cervical cancer,Number,2013,175420.2534,182315.1655,163770.0262,,,,,
Deaths,Global,Both,<70 years,Cervical cancer,Percent,2013,0.006118372,0.006360303,0.005741445,,,,,
Deaths,Global,Both,<70 years,Cervical cancer,Rate,2013,2.539545137,2.639362235,2.370885719,,,,,
Deaths,Global,Both,15 to 19,Colon and rectum cancer,Number,2013,746.768249,799.5295122,665.0059534,,,,,
Deaths,Global,Both,15 to 19,Colon and rectum cancer,Percent,2013,0.001324836,0.001413449,0.00117764,,,,,
Deaths,Global,Both,15 to 19,Colon and rectum cancer,Rate,2013,0.122185585,0.130818338,0.108807708,,,,,
Deaths,Global,Both,20 to 24,Colon and rectum cancer,Number,2013,1756.915483,1855.171446,1584.589733,,,,,
